snd	 1953.86		 ACK	 34076	 0
rcv	 1991.50		 DATA	 34076	 1000
snd	 1991.51		 ACK	 36076	 0
rcv	 2035.49		 DATA	 36076	 1000
snd	 2035.50		 ACK	 37076	 0
snd	 2073.06		 ACK	 37076	 0
rcv	 2116.94		 DATA	 37076	 1000
snd	 2116.99		 ACK	 38076	 0
rcv	 2160.86		 DATA	 38076	 1000
snd	 2160.87		 ACK	 39076	 0
snd	 2198.41		 ACK	 39076	 0
snd	 2235.96		 ACK	 39076	 0
rcv	 2248.54		 DATA	 43076	 1000
snd	 2248.55		 ACK	 39076	 0
rcv	 2279.43		 DATA	 39076	 1000
snd	 2279.44		 ACK	 40076	 0
snd	 2329.45		 ACK	 40076	 0
snd	 2367.00		 ACK	 40076	 0
snd	 2404.55		 ACK	 40076	 0
rcv	 2453.80		 DATA	 40076	 1000
snd	 2453.81		 ACK	 41076	 0
rcv	 2497.71		 DATA	 41076	 1000
snd	 2497.73		 ACK	 42076	 0
rcv	 2538.67		 DATA	 42076	 1000
snd	 2538.69		 ACK	 44076	 0
snd	 2575.78		 ACK	 44076	 0
snd	 2619.62		 ACK	 44076	 0
snd	 2657.04		 ACK	 44076	 0
snd	 2694.60		 ACK	 44076	 0
rcv	 2707.19		 DATA	 47076	 1000
snd	 2707.20		 ACK	 44076	 0
rcv	 2707.30		 DATA	 48076	 1000
snd	 2707.31		 ACK	 44076	 0
rcv	 2738.72		 DATA	 44076	 1000
snd	 2738.74		 ACK	 45076	 0
snd	 2775.42		 ACK	 45076	 0
rcv	 2812.35		 DATA	 45076	 1000
snd	 2812.41		 ACK	 46076	 0
snd	 2849.91		 ACK	 46076	 0
snd	 2887.47		 ACK	 46076	 0
rcv	 2900.08		 DATA	 50076	 1000
snd	 2900.09		 ACK	 46076	 0
rcv	 2931.46		 DATA	 46076	 1000
snd	 2931.49		 ACK	 49076	 0
rcv	 2944.08		 DATA	 51076	 1000
snd	 2944.10		 ACK	 49076	 0
rcv	 2944.25		 DATA	 52076	 1000
snd	 2944.27		 ACK	 49076	 0
rcv	 2975.72		 DATA	 49076	 1000
snd	 2975.75		 ACK	 53076	 0
rcv	 3015.67		 DATA	 53076	 1000
snd	 3015.72		 ACK	 54076	 0
rcv	 3059.77		 DATA	 54076	 1000
snd	 3059.81		 ACK	 55076	 0
rcv	 3072.35		 DATA	 59076	 1000
snd	 3072.37		 ACK	 55076	 0
rcv	 3103.75		 DATA	 55076	 1000
snd	 3103.78		 ACK	 56076	 0
rcv	 3140.22		 DATA	 56076	 1000
snd	 3140.24		 ACK	 57076	 0
snd	 3177.69		 ACK	 57076	 0
rcv	 3190.26		 DATA	 61076	 1000
snd	 3190.27		 ACK	 57076	 0
rcv	 3215.29		 DATA	 57076	 1000
snd	 3215.31		 ACK	 58076	 0
snd	 3252.85		 ACK	 58076	 0
rcv	 3296.76		 DATA	 58076	 1000
snd	 3296.78		 ACK	 60076	 0
rcv	 3309.35		 DATA	 63076	 1000
snd	 3309.36		 ACK	 60076	 0
rcv	 3340.75		 DATA	 60076	 1000
snd	 3340.81		 ACK	 62076	 0
snd	 3378.41		 ACK	 62076	 0
snd	 3409.43		 ACK	 62076	 0
snd	 3447.00		 ACK	 62076	 0
snd	 3482.38		 ACK	 62076	 0
rcv	 3526.46		 DATA	 62076	 1000
snd	 3526.50		 ACK	 64076	 0
rcv	 3538.45		 DATA	 1540	 1000
snd	 3538.47		 ACK	 64076	 0
rcv	 3538.58		 DATA	 2540	 1000
snd	 3538.60		 ACK	 64076	 0
rcv	 3570.12		 DATA	 64076	 1000
snd	 3570.21		 ACK	 65076	 0
snd	 3606.15		 ACK	 65076	 0
snd	 3643.48		 ACK	 65076	 0
snd	 3680.98		 ACK	 65076	 0
snd	 3718.57		 ACK	 65076	 0
snd	 3756.11		 ACK	 65076	 0
snd	 3793.66		 ACK	 65076	 0
snd	 3831.23		 ACK	 65076	 0
rcv	 3874.70		 DATA	 65076	 1000
snd	 3874.72		 ACK	 540	 0
rcv	 3930.52		 DATA	 540	 1000
snd	 3930.54		 ACK	 3540	 0
snd	 3968.09		 ACK	 3540	 0
snd	 4001.99		 ACK	 3540	 0
rcv	 4014.60		 DATA	 5540	 1000
snd	 4014.61		 ACK	 3540	 0
rcv	 4014.69		 DATA	 6540	 1000
snd	 4014.70		 ACK	 3540	 0
rcv	 4014.82		 DATA	 7540	 1000
snd	 4014.83		 ACK	 3540	 0
rcv	 4027.31		 DATA	 3540	 1000
snd	 4027.35		 ACK	 4540	 0
snd	 4039.86		 ACK	 4540	 0
rcv	 4071.28		 DATA	 4540	 1000
snd	 4071.29		 ACK	 8540	 0
rcv	 4084.03		 DATA	 11540	 1000
snd	 4084.04		 ACK	 8540	 0
rcv	 4084.12		 DATA	 12540	 1000
snd	 4084.13		 ACK	 8540	 0
rcv	 4096.48		 DATA	 8540	 1000
snd	 4096.50		 ACK	 9540	 0
snd	 4109.07		 ACK	 9540	 0
rcv	 4148.52		 DATA	 9540	 1000
snd	 4148.54		 ACK	 10540	 0
snd	 4181.90		 ACK	 10540	 0
rcv	 4194.49		 DATA	 14540	 1000
snd	 4194.50		 ACK	 10540	 0
rcv	 4225.85		 DATA	 10540	 1000
snd	 4225.90		 ACK	 13540	 0
snd	 4263.42		 ACK	 13540	 0
rcv	 4275.99		 DATA	 15540	 1000
snd	 4276.00		 ACK	 13540	 0
rcv	 4307.55		 DATA	 13540	 1000
snd	 4307.57		 ACK	 16540	 0
snd	 4345.11		 ACK	 16540	 0
rcv	 4357.71		 DATA	 18540	 1000
snd	 4357.73		 ACK	 16540	 0
rcv	 4389.22		 DATA	 16540	 1000
snd	 4389.24		 ACK	 17540	 0
rcv	 4439.39		 DATA	 17540	 1000
snd	 4439.41		 ACK	 19540	 0
snd	 4476.99		 ACK	 19540	 0
snd	 4514.57		 ACK	 19540	 0
rcv	 4526.30		 DATA	 22540	 1000
snd	 4526.32		 ACK	 19540	 0
rcv	 4526.43		 DATA	 23540	 1000
snd	 4526.44		 ACK	 19540	 0
